Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
SANTA CLARA VALLEY MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
ENLOE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST ELIZABETH COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ALTA BATES SUMMIT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
EL CENTRO REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
OJAI VALLEY COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAN GORGONIO MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ANTELOPE VALLEY HOSPITAL MED CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
KAWEAH DELTA MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
GLENDALE MEM HOSPITAL & HLTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
OAK VALLEY DISTRICT HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ST JOSEPH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KAISER FOUNDATION HOSPITAL-SANTA CLARA,Acute Care Hospitals,Government - Federal,Yes
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SCRIPPS MERCY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DOCTORS MEDICAL CENTER-SAN PABLO,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ST JOHNS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,No
ST JOSEPHS MED CENTER OF STOCKTON,Acute Care Hospitals,Voluntary non-profit - Church,Yes
COMMUNITY HOSPITAL OF SAN BERNARDINO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SONOMA VALLEY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT AGNES MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
"DOCTORS HOSPITAL OF WEST COVINA, INC",Acute Care Hospitals,Proprietary,No
SAN ANTONIO COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SHARP MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SUTTER SOLANO MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WHITE MEMORIAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SAINT FRANCIS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MARIAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SUTTER GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LOMPOC VALLEY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TEMPLE COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,No
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,Acute Care Hospitals,Government - State,Yes
SAN MATEO MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
PALOMAR MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
NORTHRIDGE HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
DOCTORS HOSPITAL OF MANTECA,Acute Care Hospitals,Proprietary,Yes
ADVENTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
DAMERON HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
VERDUGO HILLS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
REGIONAL MEDICAL CENTER OF SAN JOSE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
VALLEY PRESBYTERIAN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WOODLAND MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
TRI-CITY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ST BERNARDINE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
NOVATO COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SAN GABRIEL VALLEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
RIDEOUT MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PETALUMA VALLEY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KAISER FOUNDATION HOSPITAL - LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL - DOWNEY,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL FONTANA,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CALIFORNIA HOSPITAL MEDICAL CENTER LA,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SIERRA NEVADA MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SAINT FRANCIS MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
O'CONNOR HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ENCINO HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
VENTURA COUNTY MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
SAN JOAQUIN GENERAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
ST JUDE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SANTA ROSA MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
EMANUEL MEDICAL CENTER INC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GEORGE L MEE MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST MARY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ADVENTIST MEDICAL CENTER - REEDLEY,Acute Care Hospitals,Government - Hospital District or Authority,Yes
WATSONVILLE COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
WASHINGTON HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CENTRAL VALLEY GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SEQUOIA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PALMDALE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
EAST VALLEY HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ALAMEDA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COAST PLAZA HOSPITAL,Acute Care Hospitals,Voluntary non-profit-Private,Not Available
SHARP CHULA VISTA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Acute Care Hospitals,Voluntary non-profit - Other,Yes
FEATHER RIVER HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
AHMC ANAHEIM REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAN FRANCISCO GENERAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
GARDEN GROVE HOSPITAL & MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
POMONA VALLEY HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
FRENCH HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SHARP CORONADO HOSPITAL AND HLTHCR CTR,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PROVIDENCE SAINT JOSEPH MEDICAL CTR,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES,Acute Care Hospitals,Voluntary non-profit - Church,Yes
METHODIST HOSPITAL OF SOUTHERN CA,Acute Care Hospitals,Voluntary non-profit - Church,Yes
GLENDALE ADVENTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
DOMINICAN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
DESERT REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
ARROWHEAD REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
NATIVIDAD MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MARSHALL MEDICAL CENTER (1-RH),Acute Care Hospitals,Voluntary non-profit - Other,Yes
GOOD SAMARITAN HOSPITAL,Acute Care Hospitals,Proprietary,No
FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
SIERRA VIEW DISTRICT HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
RONALD REAGAN UCLA MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
REDLANDS COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
CONTRA COSTA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
PACIFIC HOSPITAL OF LONG BEACH,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PROVIDENCE HOLY CROSS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
HI-DESERT MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
VA LONG BEACH HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
MERCY MEDICAL CENTER REDDING,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ALHAMBRA HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
VALLEYCARE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SETON MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SAINT JOHN'S HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SUTTER MEDICAL CENTER OF SANTA ROSA,Acute Care Hospitals,Government - Local,Yes
RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MERCY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
HAZEL HAWKINS MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BARSTOW COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ST MARY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UKIAH VALLEY MEDICAL CENTER/HOSPITAL D,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,Acute Care Hospitals,Voluntary non-profit - Other,Yes
EL CAMINO HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SUTTER ROSEVILLE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
VA N CALIFORNIA HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
SUTTER TRACY COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KERN MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
PALO ALTO VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
ALAMEDA COUNTY MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LOMA LINDA UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
CORONA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SALINAS VALLEY MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SONORA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
LODI MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PIONEERS MEMORIAL HEALTHCARE DISTRICT,Acute Care Hospitals,Government - Hospital District or Authority,Yes
UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,Acute Care Hospitals,Government - Local,Yes
CORCORAN DISTRICT HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BEVERLY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TORRANCE MEMORIAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BARTON MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
GOLETA VALLEY COTTAGE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
TULARE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MARIN GENERAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
NORTHBAY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LAC+USC MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
LAC/HARBOR-UCLA MED CENTER,Acute Care Hospitals,Government - Local,Yes
PACIFICA HOSPITAL OF THE VALLEY,Acute Care Hospitals,Proprietary,Yes
GOOD SAMARITAN HOSPITAL,Acute Care Hospitals,Proprietary,Yes
CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PALM DRIVE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HEMET VALLEY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
DOWNEY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,Acute Care Hospitals,Government - Federal,Yes
SANTA BARBARA COTTAGE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COALINGA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CHINESE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL - SOUTH BAY,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MERCY HOSPITAL OF FOLSOM,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SUTTER COAST HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
PALO VERDE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SCRIPPS GREEN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
KAISER FOUNDATION HOSPITAL - SACRAMENTO,Acute Care Hospitals,Voluntary non-profit - Private,No
WEST ANAHEIM MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
COLUSA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
FALLBROOK HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HUNTINGTON MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
STANFORD HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
RIDGECREST REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UCSF MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SAN JOAQUIN COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ST MARY'S MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DOCTORS MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MEMORIAL HOSPITAL OF GARDENA,Acute Care Hospitals,Proprietary,Yes
GOOD SAMARITAN HOSPITAL,Acute Care Hospitals,Proprietary,Yes
WEST HILLS HOSPITAL & MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
LONG BEACH MEMORIAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
EDEN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
CLOVIS COMMUNITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SUTTER AUBURN FAITH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SAINT VINCENT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SIERRA VISTA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
KAISER FOUNDATION HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL FREMONT/HAYWARD,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL - SAN DIEGO,Acute Care Hospitals,Voluntary non-profit - Other,No
MERCY SAN JUAN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
VICTOR VALLEY COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SUTTER DELTA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HUNTINGTON BEACH HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MEMORIAL HOSPITAL LOS BANOS,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BELLFLOWER MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
"JOHN F KENNEDY MEMORIAL HOSPITAL, INC",Acute Care Hospitals,Proprietary,Yes
SUTTER DAVIS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,Acute Care Hospitals,Voluntary non-profit - Other,Yes
COLLEGE HOSPITAL COSTA MESA,Acute Care Hospitals,Proprietary,No
SONOMA DEVELOPMENTAL CENTER,Acute Care Hospitals,Government - Federal,Yes
LOS ROBLES HOSPITAL & MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
LOS ALAMITOS MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MOTION PICTURE & TELEVISION HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,No
MEMORIAL  MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL - WEST LA,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MISSION HOSPITAL REGIONAL MED CENTER,Acute Care Hospitals,Proprietary,Yes
MADERA COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
EISENHOWER MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
TRI-CITY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
LA PALMA INTERCOMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
LAKEWOOD REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CHINO VALLEY MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SAN DIMAS COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
PLACENTIA LINDA HOSPITAL,Acute Care Hospitals,Proprietary,Yes
METHODIST HOSPITAL OF SACRAMENTO,Acute Care Hospitals,Voluntary non-profit - Other,Yes
FOOTHILL PRESBYTERIAN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SADDLEBACK MEMORIAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KAISER FOUNDATION HOSPITAL-SAN JOSE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DELANO REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
KAISER FOUNDATION HOSPITAL ANAHEIM,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST JOHNS PLEASANT VALLEY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BEAR VALLEY COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CEDARS-SINAI MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
TWIN CITIES COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
POMERADO HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
EAST LOS ANGELES DOCTORS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
LOS ANGELES METROPOLITAN MEDICAL CTR,Acute Care Hospitals,Proprietary,No
USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,No
LOS ANGELES COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,Acute Care Hospitals,Government - Local,Yes
KAISER FOUNDATION HOSP SO SACRAMENTO,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ORANGE COAST MEMORIAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MENIFEE VALLEY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
"KAISER FOUNDATION HOSPITAL, RIVERSIDE",Acute Care Hospitals,Government - Hospital District or Authority,Yes
SAINT LOUISE REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SAN RAMON REGIONAL MEDICAL CTR,Acute Care Hospitals,Proprietary,Yes
KAISER FOUNDATION HOSPITAL-SANTA ROSA,Acute Care Hospitals,Voluntary non-profit - Other,Yes
